Date,nifty,ril,lt,tcs,inr/usd,,,
19-01-2023,-0.003170387,-0.001071392,0.002907771,-0.004997717,-0.001098424,,,
20-01-2023,-0.004438812,-0.011964299,-0.010236648,-0.002969112,-0.00241213,,,
23-01-2023,0.005029606,-0.005068755,-0.007338067,0.015284987,-0.00325248,,,
24-01-2023,-1.38E-05,-0.005922152,-0.011709166,0.006247213,0.006302969,,,
25-01-2023,-0.012571673,-0.013921258,-0.014969984,-0.001907944,0.001396766,,,
27-01-2023,-0.016204839,-0.019153481,-0.006851865,-0.005467284,-0.000706999,,,
30-01-2023,0.002530239,0.009537827,-0.021977535,0.006603691,0.000772055,,,
31-01-2023,0.000747707,-0.002503361,0.005427997,-0.022069924,0.000881726,,,
01-02-2023,-0.0025993,-0.005944189,0.00990658,0.014674408,0.002307946,,,
02-02-2023,-0.000334995,-0.005549745,-0.000303066,0.015155865,-0.000710863,,,
03-02-2023,0.013740758,0.000880673,0.010043238,0.00630877,0.004098804,,,
06-02-2023,-0.005022726,-0.007563982,-0.004835019,-0.00643884,0.002192701,,,
07-02-2023,-0.002429099,-0.002404001,0.004257839,0.003635213,0.006412874,,,
08-02-2023,0.008439821,0.019773731,-0.016037878,0.013600142,-0.000158307,,,
09-02-2023,0.001216268,0.00174177,0.007736701,0.005877308,-0.000996333,,,
10-02-2023,-0.002067093,-0.008268345,0.007631394,-0.000932406,-0.001529087,,,
13-02-2023,-0.004805278,-0.005708061,0.018067123,-0.015712744,-0.000244812,,,
14-02-2023,0.00890459,0.023291778,-0.005301548,0.005069907,0.001022302,,,
15-02-2023,0.004785004,0.022391433,-0.007602963,0.005854073,0.003265982,,,
16-02-2023,0.001109518,-0.00078147,0.001493098,0.010566942,-0.001568767,,,
17-02-2023,-0.005094523,0.004168063,0.021818719,-0.016121097,-0.000512645,,,
20-02-2023,-0.00556598,-0.010629213,-0.000381889,-0.003963587,0.00075799,,,
21-02-2023,-0.00100363,0.008126354,0.001773221,-0.010463805,-0.000731328,,,
22-02-2023,-0.015398311,-0.022938951,-0.015686729,-0.014432802,0.001977502,,,
23-02-2023,-0.002455447,-0.004803646,-0.016353575,0.003594854,-0.000312641,,,
24-02-2023,-0.002598804,0.006819395,-0.011693012,-0.003918383,-0.00262793,,,
27-02-2023,-0.004194195,-0.006671524,-0.009581611,-0.020379984,0.003625831,,,
28-02-2023,-0.005115779,-0.01931658,-0.002154959,-0.005718797,-0.003213131,,,
01-03-2023,0.008456492,0.009150407,0.002911656,0.021751752,-0.000200881,,,
02-03-2023,-0.007419626,-0.007644634,0.002973905,-0.019159345,-0.002611246,,,
03-03-2023,0.015606186,0.025195183,0.014250404,0.006213013,-0.000779258,,,
06-03-2023,0.006633473,0.009720373,-0.005077929,0.008847239,-0.007840635,,,
08-03-2023,0.002422116,0.00358485,0.013752793,0.005486347,0.002686525,,,
09-03-2023,-0.009325598,-0.024328238,0.010265794,-0.015920702,-0.001342361,,,
10-03-2023,-0.010096463,-0.015613489,-0.016249218,-0.001754714,0.000657406,,,
13-03-2023,-0.014962417,-0.016583075,-0.011184517,-0.014834801,-0.000736715,,,
14-03-2023,-0.006491706,-0.003749685,0.004838638,-0.02062592,0.005589615,,,
15-03-2023,-0.004183422,-0.017239456,0.01502046,-0.005004895,-0.00136588,,,
16-03-2023,0.000792115,-0.004996745,-0.001402141,-0.004354655,0.004978748,,,
17-03-2023,0.00671553,-0.001258663,0.010138865,-0.001791106,-0.001123701,,,
20-03-2023,-0.006550652,-0.009877286,-0.00832323,-0.011387964,-0.001087526,,,
21-03-2023,0.006986183,0.030622361,0.01409045,-0.011905222,-4.72E-05,,,
22-03-2023,0.002592014,0.003035447,0.002487304,0.007920518,0.001790533,,,
23-03-2023,-0.004382281,-0.012731189,-0.003302775,-0.001966247,-0.00183047,,,
24-03-2023,-0.007750894,-0.019995679,-0.018524047,-0.001329008,-0.00316165,,,
27-03-2023,0.002395966,0.01542526,-0.005624771,0.000576667,0.000893071,,,
28-03-2023,-0.00200369,0.004659357,-0.009515839,-0.002051953,-0.001505908,,,
29-03-2023,0.007581048,-0.005933937,0.006470288,0.007354449,-0.000615627,,,
31-03-2023,0.016205183,0.042211881,0.007769728,0.021120332,-0.001884929,,,
03-04-2023,0.002203868,0.000171515,0.00274547,-0.001841978,0.001026229,,,
05-04-2023,0.009097447,-0.002404738,0.039572424,0.01236082,-0.000317799,,,
06-04-2023,0.002395004,0.006684761,0.007281593,-0.005912916,-0.002008994,,,
10-04-2023,0.001413863,-0.007114847,0.015467373,0.013170924,0.000653631,,,
11-04-2023,0.005559287,0.004934446,-0.003556601,-0.015315532,0.001209483,,,
12-04-2023,0.005071088,0.004398761,-0.005664483,0.008628286,0.001050836,,,
13-04-2023,0.000875389,0.00376424,-0.013085038,-0.016421966,-0.00133508,,,
17-04-2023,-0.006818707,0.005060417,-0.020010665,-0.015596891,0.002007035,,,
18-04-2023,-0.002640837,-0.011512845,0.001173696,-0.002790853,0.001939565,,,
19-04-2023,-0.002347035,0.004965494,0.00135247,-0.013230972,0.001269895,,,
20-04-2023,0.000323422,-0.002532924,0.005906987,0.004907616,0.002824002,,,
21-04-2023,-2.26E-05,0.001256573,-0.00789131,0.017891783,-0.002422208,,,
24-04-2023,0.006749147,0.003824072,0.006165394,0.004403656,-0.001048721,,,
25-04-2023,0.001455798,0.007625689,0.008510584,0.000377802,-0.002470906,,,
26-04-2023,0.002492753,-0.005888384,0.012466696,0.006949973,0.001700369,,,
27-04-2023,0.005678997,0.006309205,0.01285555,-0.003194427,-0.002744298,,,
